Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00   20000/40000       std::_Base_bitset<12500ull>::_S_whichword(unsigned long long) [143]
-----------------------------------------------
                0.00    0.00   20000/20000       std::bitset<400000ull>::test(unsigned long long) const [160]
[159]    0.0    0.00    0.00   20000         std::bitset<400000ull>::_Unchecked_test(unsigned long long) const [159]
                0.00    0.00   20000/20000       std::_Base_bitset<12500ull>::_M_getword(unsigned long long) const [158]
                0.00    0.00   20000/40000       std::_Base_bitset<12500ull>::_S_maskbit(unsigned long long) [141]
-----------------------------------------------
                0.00    0.00   20000/20000       winning_instances(std::vector<int, std::allocator<int> > const&, int) [3]
[160]    0.0    0.00    0.00   20000         std::bitset<400000ull>::test(unsigned long long) const [160]
                0.00    0.00   20000/40000       std::bitset<400000ull>::_M_check(unsigned long long, char const*) const [139]
                0.00    0.00   20000/20000       std::bitset<400000ull>::_Unchecked_test(unsigned long long) const [159]
-----------------------------------------------
                0.00    0.00   20000/20000       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[161]    0.0    0.00    0.00   20000         unsigned long long std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code_tr<int>(int const&) const [161]
                0.00    0.00   20000/80745       std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const [122]
                0.00    0.00   20000/80745       std::hash<int>::operator()(int) const [121]
-----------------------------------------------
                0.00    0.00   20000/20000       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>) [23]
[162]    0.0    0.00    0.00   20000         int const& std::__detail::_ConvertToValueType<std::__detail::_Identity, int>::operator()<int const&>(int const&) const [162]
                0.00    0.00   20000/302778      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [118]
-----------------------------------------------
                0.00    0.00   20000/20000       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [21]
[163]    0.0    0.00    0.00   20000         std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_S_forward_key(int const&) [163]
-----------------------------------------------
                0.00    0.00   20000/20000       std::bitset<400000ull>::_Unchecked_set(unsigned long long, int) [170]
[164]    0.0    0.00    0.00   20000         std::_Base_bitset<12500ull>::_M_getword(unsigned long long) [164]
                0.00    0.00   20000/40000       std::_Base_bitset<12500ull>::_S_whichword(unsigned long long) [143]
-----------------------------------------------
                0.00    0.00   20000/20000       std::bitset<400000ull>::reset() [172]
[165]    0.0    0.00    0.00   20000         std::_Base_bitset<12500ull>::_M_do_reset() [165]
-----------------------------------------------
                0.00    0.00   20000/20000       std::bitset<200000ull>::reset() [169]
[166]    0.0    0.00    0.00   20000         std::_Base_bitset<6250ull>::_M_do_reset() [166]
-----------------------------------------------
                0.00    0.00   20000/20000       std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<int const*, std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > >(int const*, int const*, std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > >) [15]
[167]    0.0    0.00    0.00   20000         std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > >::operator*() [167]
-----------------------------------------------
                0.00    0.00   20000/20000       std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<int const*, std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > >(int const*, int const*, std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > >) [15]
[168]    0.0    0.00    0.00   20000         std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > >::operator++() [168]
-----------------------------------------------
                0.00    0.00   20000/20000       winning_instances(std::vector<int, std::allocator<int> > const&, int) [3]
[169]    0.0    0.00    0.00   20000         std::bitset<200000ull>::reset() [169]
                0.00    0.00   20000/20000       std::_Base_bitset<6250ull>::_M_do_reset() [166]
-----------------------------------------------
                0.00    0.00   20000/20000       std::bitset<400000ull>::set(unsigned long long, bool) [171]
[170]    0.0    0.00    0.00   20000         std::bitset<400000ull>::_Unchecked_set(unsigned long long, int) [170]
                0.00    0.00   20000/40000       std::_Base_bitset<12500ull>::_S_maskbit(unsigned long long) [141]
                0.00    0.00   20000/20000       std::_Base_bitset<12500ull>::_M_getword(unsigned long long) [164]
-----------------------------------------------
                0.00    0.00   20000/20000       winning_instances(std::vector<int, std::allocator<int> > const&, int) [3]
[171]    0.0    0.00    0.00   20000         std::bitset<400000ull>::set(unsigned long long, bool) [171]
                0.00    0.00   20000/40000       std::bitset<400000ull>::_M_check(unsigned long long, char const*) const [139]
                0.00    0.00   20000/20000       std::bitset<400000ull>::_Unchecked_set(unsigned long long, int) [170]
-----------------------------------------------
                0.00    0.00   20000/20000       winning_instances(std::vector<int, std::allocator<int> > const&, int) [3]
[172]    0.0    0.00    0.00   20000         std::bitset<400000ull>::reset() [172]
                0.00    0.00   20000/20000       std::_Base_bitset<12500ull>::_M_do_reset() [165]
-----------------------------------------------
                0.00    0.00   20000/20000       std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(std::__detail::_Node_const_iterator<int, true, false>, int const&) [25]
[173]    0.0    0.00    0.00   20000         std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&) [173]
-----------------------------------------------
                0.00    0.00   20000/20000       std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(std::__detail::_Node_const_iterator<int, true, false>, int const&) [25]
[174]    0.0    0.00    0.00   20000         std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable() [174]
-----------------------------------------------
                0.00    0.00   20000/20000       std::insert_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > >::operator=(int const&) [14]
[175]    0.0    0.00    0.00   20000         std::__detail::_Node_const_iterator<int, true, false>::_Node_const_iterator(std::__detail::_Node_iterator<int, true, false> const&) [175]
                0.00    0.00   20000/80003       std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*) [124]
-----------------------------------------------
                0.00    0.00    5003/20000       std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&) [198]
                0.00    0.00   14997/20000       std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&) [185]
[176]    0.0    0.00    0.00   20000         bool&& std::forward<bool>(std::remove_reference<bool>::type&) [176]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::__node_type* std::__detail::_NodeBuilder<std::__detail::_Identity>::_S_build<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [187]
[177]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::operator()<int const&>(int const&) const [177]
                0.00    0.00   14997/302778      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [118]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&) [189]
-----------------------------------------------
                0.00    0.00   14997/14997       std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long long, unsigned long long, std::__detail::_Hash_node<int, false>*, unsigned long long) [26]
[178]    0.0    0.00    0.00   14997         std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node_code_cache<false>&, unsigned long long) const [178]
-----------------------------------------------
                0.00    0.00   14997/14997       std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long long, unsigned long long, std::__detail::_Hash_node<int, false>*, unsigned long long) [26]
[179]    0.0    0.00    0.00   14997         std::__detail::_Prime_rehash_policy::_M_state() const [179]
-----------------------------------------------
                0.00    0.00   14997/14997       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[180]    0.0    0.00    0.00   14997         std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<int, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >*) [180]
-----------------------------------------------
                0.00    0.00   14997/14997       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[181]    0.0    0.00    0.00   14997         std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::~_Scoped_node() [181]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*) [191]
[182]    0.0    0.00    0.00   14997         std::__new_allocator<std::__detail::_Hash_node<int, false> >::deallocate(std::__detail::_Hash_node<int, false>*, unsigned long long) [182]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&) [189]
[183]    0.0    0.00    0.00   14997         std::__new_allocator<std::__detail::_Hash_node<int, false> >::allocate(unsigned long long, void const*) [183]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*) [191]
[184]    0.0    0.00    0.00   14997         std::__ptr_traits_ptr_to<std::__detail::_Hash_node<int, false>*, std::__detail::_Hash_node<int, false>, false>::pointer_to(std::__detail::_Hash_node<int, false>&) [184]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&) [195]
-----------------------------------------------
                0.00    0.00   14997/14997       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[185]    0.0    0.00    0.00   14997         std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&) [185]
                0.00    0.00   14997/14997       std::__detail::_Node_iterator<int, true, false>& std::forward<std::__detail::_Node_iterator<int, true, false>&>(std::remove_reference<std::__detail::_Node_iterator<int, true, false>&>::type&) [194]
                0.00    0.00   14997/20000       bool&& std::forward<bool>(std::remove_reference<bool>::type&) [176]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&) [189]
[186]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>::_Hash_node() [186]
                0.00    0.00   14997/14997       std::__detail::_Hash_node_base::_Hash_node_base() [188]
-----------------------------------------------
                0.00    0.00   14997/14997       std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[187]    0.0    0.00    0.00   14997         std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::__node_type* std::__detail::_NodeBuilder<std::__detail::_Identity>::_S_build<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [187]
                0.00    0.00   14997/302778      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [118]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::operator()<int const&>(int const&) const [177]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>::_Hash_node() [186]
[188]    0.0    0.00    0.00   14997         std::__detail::_Hash_node_base::_Hash_node_base() [188]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::operator()<int const&>(int const&) const [177]
[189]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&) [189]
                0.00    0.00   44991/302778      int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [118]
                0.00    0.00   29994/60010       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator() [130]
                0.00    0.00   29994/29997       operator new(unsigned long long, void*) [148]
                0.00    0.00   14997/14997       std::__new_allocator<std::__detail::_Hash_node<int, false> >::allocate(unsigned long long, void const*) [183]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__to_address<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>*) [193]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>::_Hash_node() [186]
                0.00    0.00   14997/29994       std::__detail::_Hash_node_value_base<int>::_M_valptr() [151]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_nodes(std::__detail::_Hash_node<int, false>*) [34]
[190]    0.0    0.00    0.00   14997         std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node(std::__detail::_Hash_node<int, false>*) [190]
                0.00    0.00   14997/29994       std::__detail::_Hash_node_value_base<int>::_M_valptr() [151]
                0.00    0.00   14997/60010       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator() [130]
                0.00    0.00   14997/14997       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*) [191]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node(std::__detail::_Hash_node<int, false>*) [190]
[191]    0.0    0.00    0.00   14997         std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*) [191]
                0.00    0.00   14997/14997       std::__ptr_traits_ptr_to<std::__detail::_Hash_node<int, false>*, std::__detail::_Hash_node<int, false>, false>::pointer_to(std::__detail::_Hash_node<int, false>&) [184]
                0.00    0.00   14997/60010       std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator() [130]
                0.00    0.00   14997/14997       std::__new_allocator<std::__detail::_Hash_node<int, false> >::deallocate(std::__detail::_Hash_node<int, false>*, unsigned long long) [182]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&) [195]
[192]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>* std::__addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&) [192]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&) [189]
[193]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>* std::__to_address<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>*) [193]
-----------------------------------------------
                0.00    0.00   14997/14997       std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&) [185]
[194]    0.0    0.00    0.00   14997         std::__detail::_Node_iterator<int, true, false>& std::forward<std::__detail::_Node_iterator<int, true, false>&>(std::remove_reference<std::__detail::_Node_iterator<int, true, false>&>::type&) [194]
-----------------------------------------------
                0.00    0.00   14997/14997       std::__ptr_traits_ptr_to<std::__detail::_Hash_node<int, false>*, std::__detail::_Hash_node<int, false>, false>::pointer_to(std::__detail::_Hash_node<int, false>&) [184]
[195]    0.0    0.00    0.00   14997         std::__detail::_Hash_node<int, false>* std::addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&) [195]
                0.00    0.00   14997/14997       std::__detail::_Hash_node<int, false>* std::__addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&) [192]
-----------------------------------------------
                0.00    0.00   13579/13579       std::__detail::_Hash_node_base* std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node_tr<int>(unsigned long long, int const&, unsigned long long) const [36]
[196]    0.0    0.00    0.00   13579         bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals_tr<int>(int const&, unsigned long long, std::__detail::_Hash_node_value<int, false> const&) const [196]
                0.00    0.00   13579/37054       std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long long, std::__detail::_Hash_node_code_cache<false> const&) [147]
                0.00    0.00   13579/13579       bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_key_equals_tr<int>(int const&, std::__detail::_Hash_node_value<int, false> const&) const [197]
-----------------------------------------------
                0.00    0.00   13579/13579       bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals_tr<int>(int const&, unsigned long long, std::__detail::_Hash_node_value<int, false> const&) const [196]
[197]    0.0    0.00    0.00   13579         bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_key_equals_tr<int>(int const&, std::__detail::_Hash_node_value<int, false> const&) const [197]
                0.00    0.00   13579/37054       std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const [144]
                0.00    0.00   13579/77799       std::__detail::_Hash_node_value_base<int>::_M_v() const [127]
                0.00    0.00   13579/97799       int const& std::__detail::_Identity::operator()<int const&>(int const&) const [119]
                0.00    0.00   13579/37054       std::equal_to<int>::operator()(int const&, int const&) const [146]
-----------------------------------------------
                0.00    0.00    5003/5003        std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [20]
[198]    0.0    0.00    0.00    5003         std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&) [198]
                0.00    0.00    5003/5003        std::__detail::_Node_iterator<int, true, false>&& std::forward<std::__detail::_Node_iterator<int, true, false> >(std::remove_reference<std::__detail::_Node_iterator<int, true, false> >::type&) [199]
                0.00    0.00    5003/20000       bool&& std::forward<bool>(std::remove_reference<bool>::type&) [176]
-----------------------------------------------
                0.00    0.00    5003/5003        std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&) [198]
[199]    0.0    0.00    0.00    5003         std::__detail::_Node_iterator<int, true, false>&& std::forward<std::__detail::_Node_iterator<int, true, false> >(std::remove_reference<std::__detail::_Node_iterator<int, true, false> >::type&) [199]
-----------------------------------------------
                0.00    0.00      11/22          std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_buckets(unsigned long long) [209]
                0.00    0.00      11/22          std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long long) [210]
[200]    0.0    0.00    0.00      22         std::__new_allocator<std::__detail::_Hash_node_base*>::~__new_allocator() [200]
-----------------------------------------------
                0.00    0.00       1/13          std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::begin() [252]
                0.00    0.00       1/13          std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::clear() [31]
                0.00    0.00      11/13          std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long long, std::integral_constant<bool, true>) [29]
